platform,abstraction,problem_size,problem_size_n,n_runs,median_bw_gbs,mean_bw_gbs,std_bw_gbs,iqr_bw_gbs,cv_pct,min_bw_gbs,max_bw_gbs,q1_bw_gbs,q3_bw_gbs,ppc,roofline_pct,ppc_tier
nvidia_rtx5060_laptop_locked,julia,large,268435456,20,349.0792,347.5386,6.915,0.2393,1.9897,318.1767,349.3743,348.9816,349.2209,0.997,90.9061,excellent
nvidia_rtx5060_laptop_locked,kokkos,large,268435456,25,349.7298,348.7367,5.0293,0.2216,1.4421,324.6024,349.9044,349.639,349.8606,0.9988,91.0755,excellent
nvidia_rtx5060_laptop_locked,native,large,268435456,25,350.1448,349.909,0.4441,0.6738,0.1269,348.6428,350.4306,349.5654,350.2392,1.0,91.1835,excellent
nvidia_rtx5060_laptop_locked,numba,large,268435456,25,345.0055,345.3073,1.3547,2.1218,0.3923,342.8989,347.3088,344.4188,346.5406,0.9853,89.8452,excellent
nvidia_rtx5060_laptop_locked,raja,large,268435456,25,349.5796,348.0513,3.2877,1.4351,0.9446,339.2619,350.2027,348.4774,349.9125,0.9984,91.0364,excellent
amd_mi300x,julia,large,268435456,27,3852.5712,3836.837,68.6315,45.1026,1.7888,3559.9963,3903.7658,3826.6439,3871.7464,0.9664,72.69,excellent
amd_mi300x,julia,medium,67108864,22,3526.589,3527.6197,238.8146,366.2884,6.7699,3051.3219,3829.7134,3369.1124,3735.4008,0.8814,66.5394,excellent
amd_mi300x,julia,small,1048576,20,1585.1892,1552.6307,145.5352,274.0602,9.3735,1310.4469,1753.3494,1404.2854,1678.3455,0.5025,29.9092,poor
amd_mi300x,kokkos,large,268435456,30,4051.5158,3946.9889,182.4913,160.9126,4.6236,3574.2308,4106.7678,3907.8321,4068.7448,1.0163,76.4437,excellent
amd_mi300x,kokkos,medium,67108864,30,3873.9754,3804.9064,160.9989,66.6176,4.2314,3413.219,3937.1198,3827.302,3893.9197,0.9682,73.0939,excellent
amd_mi300x,kokkos,small,1048576,28,1571.1946,1566.4439,35.072,39.8316,2.239,1488.1334,1650.4344,1549.5727,1589.4043,0.4981,29.6452,poor
amd_mi300x,native,large,268435456,180,3986.4402,3978.5382,113.7697,121.0773,2.8596,3545.3582,4150.3872,3938.767,4059.8443,1.0,75.2159,excellent
amd_mi300x,native,medium,67108864,180,4001.3086,3983.66,119.3909,116.3364,2.997,3512.8557,4132.6268,3947.1837,4063.52,1.0,75.4964,excellent
amd_mi300x,native,small,1048576,168,3154.4027,3200.5907,112.097,113.9644,3.5024,2892.6234,3448.7905,3138.2745,3252.2389,1.0,59.517,excellent
amd_mi300x,raja,large,268435456,30,3641.4334,3633.2612,52.8419,39.467,1.4544,3486.6974,3737.2023,3620.6578,3660.1249,0.9135,68.7063,excellent
amd_mi300x,raja,medium,67108864,30,3981.2084,3851.6313,200.6842,386.417,5.2104,3531.7357,4032.7726,3623.3546,4009.7716,0.995,75.1171,excellent
amd_mi300x,raja,small,1048576,29,1619.3182,1599.4892,64.2465,30.3818,4.0167,1394.074,1665.9489,1597.5258,1627.9076,0.5134,30.5532,poor
amd_mi300x,sycl,large,268435456,30,3905.5716,3870.9682,88.9039,96.0536,2.2967,3645.7348,3969.231,3832.1402,3928.1938,0.9797,73.69,excellent
amd_mi300x,sycl,medium,67108864,30,3685.3518,3652.811,120.2031,83.484,3.2907,3232.4161,3777.1989,3629.3226,3712.8066,0.921,69.5349,excellent
amd_mi300x,sycl,small,1048576,27,527.3974,525.4742,15.5458,17.4759,2.9584,475.2124,545.8727,519.1798,536.6556,0.1672,9.9509,poor
