platform,abstraction,problem_size,n_matrix,n_runs,median_gflops,mean_gflops,std_gflops,iqr_gflops,cv_pct,min_gflops,max_gflops,q1_gflops,q3_gflops,is_ceiling_ref,efficiency,flag_deep_profiling,ppc_tier
nvidia_rtx5060_laptop,native,small,1024,25,270.7699,270.4652,0.5857,0.9834,0.2166,269.088,271.06,269.9371,270.9204,False,1.0,False,excellent
nvidia_rtx5060_laptop,native_cublas,small,1024,25,285.1087,284.9203,0.6122,0.2796,0.2149,282.7856,285.3438,284.907,285.1866,True,1.053,False,ceiling_ref
nvidia_rtx5060_laptop,raja_naive,small,1024,25,243.141,241.2543,5.4036,1.0972,2.2398,222.1689,243.709,242.5229,243.6202,False,0.898,False,excellent
nvidia_rtx5060_laptop,julia_naive,small,1024,25,255.1623,255.6332,1.7398,1.8604,0.6806,253.0192,259.6773,254.3696,256.23,False,0.9424,False,excellent
nvidia_rtx5060_laptop,julia_cublas,small,1024,25,243.5351,243.3742,2.5972,3.6311,1.0672,238.3218,247.8673,241.5694,245.2005,True,0.8994,False,ceiling_ref
nvidia_rtx5060_laptop,native,medium,4096,25,175.1402,175.1126,0.248,0.1979,0.1416,174.1862,175.5782,175.0411,175.239,False,1.0,False,excellent
nvidia_rtx5060_laptop,native_cublas,medium,4096,25,198.4958,198.4972,0.1738,0.1417,0.0876,198.0958,198.8227,198.4419,198.5837,True,1.1334,False,ceiling_ref
nvidia_rtx5060_laptop,raja_naive,medium,4096,25,42.0171,42.0225,0.0425,0.0486,0.1011,41.9383,42.1086,42.0011,42.0497,False,0.2399,True,poor
nvidia_rtx5060_laptop,julia_naive,medium,4096,25,139.3247,139.1781,0.5303,0.2398,0.381,137.1464,139.7501,139.1693,139.409,False,0.7955,True,acceptable
nvidia_rtx5060_laptop,julia_cublas,medium,4096,25,218.2978,217.9565,2.2344,0.5925,1.0251,210.1386,221.4137,218.0396,218.6321,True,1.2464,False,ceiling_ref
nvidia_rtx5060_laptop,native,large,8192,25,176.3038,176.295,0.2737,0.4609,0.1553,175.7764,176.7246,176.0689,176.5299,False,1.0,False,excellent
nvidia_rtx5060_laptop,native_cublas,large,8192,25,176.5704,176.5246,0.1469,0.2095,0.0832,176.1448,176.7098,176.421,176.6304,True,1.0015,False,ceiling_ref
nvidia_rtx5060_laptop,raja_naive,large,8192,25,85.0623,85.1018,0.1609,0.2409,0.1891,84.8612,85.4925,84.9803,85.2212,False,0.4825,True,poor
nvidia_rtx5060_laptop,julia_naive,large,8192,25,220.3566,220.3392,0.107,0.1785,0.0486,220.1793,220.5476,220.2265,220.405,False,1.2499,False,excellent
nvidia_rtx5060_laptop,julia_cublas,large,8192,25,254.0022,254.0053,0.0132,0.0149,0.0052,253.9715,254.0295,253.9995,254.0144,True,1.4407,False,ceiling_ref
amd_mi300x,native,small,1024,30,6693.2751,6674.1292,150.1136,264.7169,2.2492,6374.8142,6899.4794,6538.0019,6802.7187,False,1.0,False,excellent
amd_mi300x,native_rocblas,small,1024,30,34589.9735,34416.5119,1348.2088,1082.3756,3.9173,31462.196,36333.3669,34002.9306,35085.3061,True,5.1679,False,ceiling_ref
amd_mi300x,kokkos,small,1024,30,6393.3426,6409.7495,97.3348,124.4034,1.5185,6281.8186,6607.7233,6332.5095,6456.9128,False,0.9552,False,excellent
amd_mi300x,raja_naive,small,1024,30,2115.3521,2077.3142,62.8491,114.046,3.0255,1971.6355,2151.5695,2008.884,2122.93,False,0.316,True,poor
amd_mi300x,sycl,small,1024,30,6118.1669,6117.8445,108.4323,141.7964,1.7724,5887.4848,6277.1546,6047.8895,6189.6859,False,0.9141,False,excellent
