abstraction,matrix_type,problem_size,n_rows,nnz,n_runs,median_gflops,mean_gflops,std_gflops,iqr_gflops,cv_pct,min_gflops,max_gflops,q1_gflops,q3_gflops,efficiency,flag_deep_profiling,ppc_tier
native,laplacian_2d,small,1024,4992,29,1.0332,1.0394,0.0447,0.0755,4.3003,0.9582,1.1083,0.9984,1.0739,1.0,False,native
kokkos,laplacian_2d,small,1024,4992,30,0.8456,0.8498,0.0308,0.0548,3.6299,0.8042,0.8978,0.823,0.8777,0.8184,True,excellent
raja,laplacian_2d,small,1024,4992,30,0.9599,0.9563,0.0431,0.0715,4.5103,0.8824,1.0255,0.9217,0.9932,0.9291,False,excellent
julia,laplacian_2d,small,1024,4992,27,0.5793,0.5805,0.0322,0.0402,5.541,0.5102,0.642,0.5657,0.6059,0.5606,True,poor
native,laplacian_2d,medium,8281,41041,30,5.2442,5.2394,0.1316,0.1776,2.5121,4.8584,5.4619,5.1735,5.3511,1.0,False,native
kokkos,laplacian_2d,medium,8281,41041,30,6.2499,6.3203,0.5449,0.9753,8.6216,5.4989,7.111,5.8254,6.8007,1.1918,False,excellent
raja,laplacian_2d,medium,8281,41041,28,5.9657,5.9142,0.2974,0.381,5.0293,5.2046,6.2946,5.7606,6.1417,1.1376,False,excellent
julia,laplacian_2d,medium,8281,41041,27,5.4388,5.4553,0.178,0.2787,3.2634,5.1385,5.8284,5.3162,5.5948,1.0371,False,excellent
native,laplacian_2d,large,32942,163984,29,26.2186,26.076,0.8807,1.2736,3.3773,24.3553,27.528,25.3688,26.6424,1.0,False,native
kokkos,laplacian_2d,large,32942,163984,30,23.6579,23.862,0.7428,1.3384,3.1129,22.6325,25.1528,23.24,24.5784,0.9023,False,excellent
raja,laplacian_2d,large,32942,163984,26,23.7934,23.7712,0.9451,1.0905,3.9759,20.7562,25.2828,23.3895,24.4801,0.9075,False,excellent
julia,laplacian_2d,large,32942,163984,27,20.2712,20.3166,0.7611,1.4509,3.7464,19.1548,21.3022,19.5382,20.9891,0.7732,True,acceptable
native,random_sparse,small,1024,5120,29,0.5957,0.5948,0.0217,0.0265,3.6551,0.5346,0.6391,0.5816,0.608,1.0,False,native
kokkos,random_sparse,small,1024,5120,30,0.7745,0.7816,0.0287,0.0431,3.6769,0.7323,0.8259,0.7655,0.8086,1.3,False,excellent
raja,random_sparse,small,1024,5120,29,0.9609,0.9673,0.0484,0.0672,4.9997,0.8739,1.081,0.9312,0.9984,1.6129,False,excellent
julia,random_sparse,small,1024,5120,25,0.7762,0.7714,0.0346,0.0609,4.4814,0.7192,0.8211,0.742,0.8029,1.3029,False,excellent
native,random_sparse,medium,8192,40960,29,7.2329,7.2204,0.2778,0.4276,3.848,6.6006,7.6397,7.0089,7.4365,1.0,False,native
kokkos,random_sparse,medium,8192,40960,30,6.3642,6.4065,0.2212,0.3851,3.4531,6.0538,6.8079,6.2275,6.6126,0.8799,False,excellent
raja,random_sparse,medium,8192,40960,26,7.4937,7.4597,0.3933,0.5091,5.2728,6.861,8.2672,7.1134,7.6226,1.0361,False,excellent
julia,random_sparse,medium,8192,40960,26,5.6592,5.6503,0.2664,0.3814,4.715,4.8027,5.9414,5.4933,5.8747,0.7824,True,acceptable
native,random_sparse,large,32768,163840,29,19.703,19.718,0.4902,0.9855,2.4862,18.9224,20.48,19.2267,20.2122,1.0,False,native
kokkos,random_sparse,large,32768,163840,30,15.8261,15.8512,0.3277,0.5416,2.0675,15.2679,16.4696,15.6068,16.1484,0.8032,True,excellent
raja,random_sparse,large,32768,163840,28,18.155,17.9929,0.848,0.6595,4.7132,15.5122,19.0867,17.7814,18.4409,0.9214,False,excellent
julia,random_sparse,large,32768,163840,26,13.3186,13.2487,0.4641,0.6693,3.5029,12.4347,14.028,12.8661,13.5353,0.676,True,acceptable
native,power_law,small,1024,2529,30,0.3538,0.3511,0.0105,0.0182,2.9858,0.3272,0.3662,0.343,0.3612,1.0,False,native
kokkos,power_law,small,1024,2529,29,0.2244,0.2258,0.0094,0.0101,4.1478,0.2117,0.2527,0.2192,0.2293,0.6342,True,acceptable
raja,power_law,small,1024,2529,29,0.2421,0.2425,0.0045,0.006,1.8492,0.2303,0.2497,0.24,0.246,0.6843,True,acceptable
julia,power_law,small,1024,2230,26,0.1588,0.1579,0.004,0.0024,2.5379,0.1396,0.1609,0.1573,0.1597,0.449,True,poor
native,power_law,medium,8192,20432,30,0.9495,0.9479,0.0173,0.0177,1.8233,0.8773,0.9801,0.9407,0.9584,1.0,False,native
kokkos,power_law,medium,8192,20432,30,0.9443,0.9468,0.0179,0.0161,1.8936,0.869,0.9669,0.9422,0.9583,0.9946,False,excellent
raja,power_law,medium,8192,20432,29,1.2181,1.21,0.0337,0.0326,2.7886,1.1057,1.2527,1.2023,1.235,1.2829,False,excellent
julia,power_law,medium,8192,19526,28,1.1533,1.1492,0.0424,0.0301,3.6892,1.0149,1.2107,1.1397,1.1698,1.2147,False,excellent
native,power_law,large,32768,81494,30,3.4921,3.4906,0.0743,0.0592,2.1274,3.1379,3.564,3.4709,3.5302,1.0,False,native
kokkos,power_law,large,32768,81494,30,2.8438,2.8447,0.0247,0.0331,0.8691,2.7981,2.8936,2.8266,2.8597,0.8144,True,excellent
raja,power_law,large,32768,81494,28,3.4566,3.4861,0.1007,0.1412,2.8872,3.3618,3.6907,3.4046,3.5459,0.9898,False,excellent
julia,power_law,large,32768,79638,28,3.1946,3.1703,0.0882,0.0885,2.7816,2.8651,3.2736,3.1337,3.2223,0.9148,False,excellent
