abstraction,matrix_type,problem_size,n_rows,nnz,n_levels,max_level_width,min_level_width,n_runs,median_gflops,mean_gflops,std_gflops,iqr_gflops,cv_pct,min_gflops,max_gflops,q1_gflops,q3_gflops,efficiency,eff_gt1_flag,flag_deep_profiling,ppc_tier,parallelism_ratio
native,lower_triangular_laplacian,small,256,736,31,16,1,30,0.005,0.0051,0.0001,0.0002,2.5109,0.0048,0.0053,0.005,0.0052,1.0,False,False,native,0.0625
kokkos,lower_triangular_laplacian,small,256,736,31,16,1,25,0.004,0.004,0.0001,0.0001,3.2857,0.0035,0.0041,0.004,0.0041,0.7984,False,True,acceptable,0.0625
raja,lower_triangular_laplacian,small,256,736,31,16,1,24,0.0038,0.0038,0.0001,0.0001,3.4687,0.0036,0.0041,0.0037,0.0039,0.7452,False,True,acceptable,0.0625
julia,lower_triangular_laplacian,small,256,736,31,16,1,20,0.0038,0.0037,0.0002,0.0001,5.5474,0.0031,0.0039,0.0037,0.0038,0.7458,False,True,acceptable,0.0625
native,lower_triangular_laplacian,medium,2070,6119,90,45,1,30,0.0144,0.0143,0.0003,0.0004,2.2479,0.0134,0.0148,0.0142,0.0146,1.0,False,False,native,0.0217
kokkos,lower_triangular_laplacian,medium,2070,6119,90,45,1,29,0.012,0.0121,0.0005,0.0003,4.4958,0.0106,0.0133,0.0119,0.0122,0.8321,False,True,excellent,0.0217
raja,lower_triangular_laplacian,medium,2070,6119,90,45,1,30,0.0139,0.0138,0.0003,0.0003,2.4984,0.0123,0.0142,0.0137,0.014,0.965,False,False,excellent,0.0217
julia,lower_triangular_laplacian,medium,2070,6119,90,45,1,28,0.0107,0.0106,0.0002,0.0002,2.1205,0.0099,0.011,0.0106,0.0108,0.7426,False,True,acceptable,0.0217
native,lower_triangular_laplacian,large,8281,24661,181,91,1,30,0.0296,0.0295,0.0008,0.0006,2.7813,0.0271,0.0311,0.0294,0.03,1.0,False,False,native,0.011
kokkos,lower_triangular_laplacian,large,8281,24661,181,91,1,30,0.0244,0.0244,0.001,0.0017,4.2376,0.0216,0.0263,0.0237,0.0254,0.8231,False,True,excellent,0.011
raja,lower_triangular_laplacian,large,8281,24661,181,91,1,28,0.0275,0.0272,0.0012,0.0008,4.4132,0.0234,0.0288,0.027,0.0278,0.9279,False,False,excellent,0.011
julia,lower_triangular_laplacian,large,8281,24661,181,91,1,17,0.0137,0.0141,0.0008,0.0009,5.7358,0.013,0.0165,0.0136,0.0144,0.4638,False,True,poor,0.011
native,lower_triangular_random,small,256,1521,34,21,1,23,0.0099,0.0097,0.0003,0.0006,3.3648,0.0092,0.0101,0.0094,0.01,1.0,False,False,native,0.082
kokkos,lower_triangular_random,small,256,1521,34,21,1,30,0.0079,0.0079,0.0001,0.0001,1.8952,0.0077,0.0082,0.0078,0.0079,0.7965,False,True,acceptable,0.082
raja,lower_triangular_random,small,256,1521,34,21,1,30,0.0089,0.0089,0.0003,0.0003,3.0209,0.008,0.0092,0.0088,0.0091,0.8962,False,False,excellent,0.082
julia,lower_triangular_random,small,256,1521,39,19,1,27,0.0063,0.0063,0.0002,0.0003,3.5073,0.0057,0.0066,0.0062,0.0065,0.6396,False,True,acceptable,0.0742
native,lower_triangular_random,medium,2048,12273,60,121,1,30,0.0426,0.0423,0.0018,0.0022,4.2341,0.0372,0.0444,0.0417,0.0439,1.0,False,False,native,0.0591
kokkos,lower_triangular_random,medium,2048,12273,60,121,1,30,0.0359,0.0359,0.0009,0.001,2.4755,0.0336,0.0378,0.0356,0.0366,0.8417,False,True,excellent,0.0591
raja,lower_triangular_random,medium,2048,12273,60,121,1,30,0.0429,0.0424,0.0016,0.0025,3.8733,0.0395,0.0444,0.0413,0.0438,1.0054,True,False,excellent,0.0591
julia,lower_triangular_random,medium,2048,12273,59,127,1,28,0.0331,0.0328,0.0007,0.0011,2.2467,0.0311,0.0338,0.0322,0.0334,0.7761,False,True,acceptable,0.062
native,lower_triangular_random,large,8192,49137,75,524,1,30,0.1017,0.102,0.0026,0.0029,2.532,0.0926,0.1049,0.1014,0.1042,1.0,False,False,native,0.064
kokkos,lower_triangular_random,large,8192,49137,75,524,1,30,0.1132,0.1138,0.002,0.0037,1.7584,0.1099,0.1169,0.1125,0.1161,1.1125,True,False,excellent,0.064
raja,lower_triangular_random,large,8192,49137,75,524,1,30,0.1322,0.1319,0.0027,0.0045,2.0527,0.1268,0.1362,0.1297,0.1342,1.2991,True,False,excellent,0.064
julia,lower_triangular_random,large,8192,49137,76,463,1,24,0.0913,0.0907,0.0044,0.0041,4.8892,0.0797,0.0977,0.0894,0.0935,0.8971,False,False,excellent,0.0565
