platform,abstraction,graph_type,problem_size,n_vertices,n_edges,n_levels,max_frontier_width,min_frontier_width,peak_frontier_fraction,n_runs,median_gflops,mean_gflops,std_gflops,iqr_gflops,cv_pct,min_gflops,max_gflops,q1_gflops,q3_gflops,efficiency,eff_gt1_flag,flag_deep_profiling,ppc_tier,frontier_irregularity
nvidia_rtx5060,native,erdos_renyi,small,1024,5177,6,560,1,0.546875,16,0.009302,0.009258,0.000567,0.000406,6.123366,0.007365,0.009773,0.009157,0.009563,1.0,False,False,native,
nvidia_rtx5060,julia,erdos_renyi,small,1024,5138,6,500,1,0.488281,30,0.0068,0.006901,0.000258,0.000448,3.744514,0.006548,0.007328,0.00669,0.007137,0.73104,False,True,acceptable,
nvidia_rtx5060,native,erdos_renyi,medium,16384,82329,7,7631,1,0.465759,30,0.185375,0.183296,0.008576,0.008687,4.678702,0.166144,0.197674,0.180448,0.189135,1.0,False,False,native,
nvidia_rtx5060,julia,erdos_renyi,medium,16384,82186,8,10796,1,0.658936,22,0.082834,0.082043,0.003778,0.003744,4.605114,0.067567,0.085336,0.080731,0.084475,0.446848,False,True,poor,
nvidia_rtx5060,native,erdos_renyi,large,65536,327013,8,41154,1,0.62796,25,0.666631,0.636697,0.061105,0.058372,9.597184,0.487693,0.689902,0.622168,0.68054,1.0,False,False,native,
nvidia_rtx5060,julia,erdos_renyi,large,65536,327791,9,30157,1,0.460159,29,0.283501,0.282805,0.012493,0.015217,4.417557,0.234432,0.296567,0.27725,0.292467,0.425274,False,True,poor,
nvidia_rtx5060,native,2d_grid,small,1024,1984,63,32,1,0.03125,30,0.000617,0.000616,1.8e-05,1.9e-05,2.963837,0.000566,0.000646,0.000608,0.000627,1.0,False,False,native,
nvidia_rtx5060,julia,2d_grid,small,1024,1984,63,32,1,0.03125,30,0.000217,0.000214,8e-06,1.2e-05,3.564781,0.000196,0.000223,0.000208,0.00022,0.351987,False,True,poor,
nvidia_rtx5060,native,2d_grid,medium,16384,32512,255,128,1,0.007812,25,0.001991,0.002051,0.000272,0.000374,13.281158,0.001453,0.002683,0.001884,0.002258,1.0,False,False,native,
nvidia_rtx5060,julia,2d_grid,medium,16384,32512,255,128,1,0.007812,24,0.000875,0.000885,0.000115,0.000136,12.94821,0.000502,0.001037,0.000832,0.000968,0.439227,False,True,poor,
nvidia_rtx5060,native,2d_grid,large,65536,130560,511,256,1,0.003906,29,0.004664,0.004609,0.000184,0.000165,3.997601,0.004059,0.004797,0.004572,0.004737,1.0,False,False,native,
nvidia_rtx5060,julia,2d_grid,large,65536,130560,511,256,1,0.003906,23,0.001669,0.001666,0.000208,0.000181,12.497045,0.00127,0.00207,0.001565,0.001746,0.357847,False,True,poor,
amd_mi300x,native,erdos_renyi,small,1024,5177,6,560,1,0.546875,30,0.014022,0.013946,0.000334,0.000419,2.394325,0.013162,0.014472,0.013725,0.014144,1.0,False,False,native,
