timestamp,experiment_id,kernel,abstraction,platform,problem_size,problem_size_n,run_id,execution_time_ms,throughput,efficiency,hardware_state_verified,compiler_version,framework_version
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_001,stream,kokkos,amd_mi300x,small,1048576,1,0.02013,1250.2893,,0,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_002,stream,kokkos,amd_mi300x,small,1048576,2,0.01597,1575.9173,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_003,stream,kokkos,amd_mi300x,small,1048576,3,0.01563,1609.6856,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_004,stream,kokkos,amd_mi300x,small,1048576,4,0.01622,1551.0523,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_005,stream,kokkos,amd_mi300x,small,1048576,5,0.01571,1601.8984,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_006,stream,kokkos,amd_mi300x,small,1048576,6,0.01602,1571.3908,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_007,stream,kokkos,amd_mi300x,small,1048576,7,0.01677,1500.4665,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_008,stream,kokkos,amd_mi300x,small,1048576,8,0.01600,1573.1590,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_009,stream,kokkos,amd_mi300x,small,1048576,9,0.01582,1591.0618,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_010,stream,kokkos,amd_mi300x,small,1048576,10,0.01626,1547.7137,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_011,stream,kokkos,amd_mi300x,small,1048576,11,0.01580,1593.2779,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_012,stream,kokkos,amd_mi300x,small,1048576,12,0.01591,1582.2587,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_013,stream,kokkos,amd_mi300x,small,1048576,13,0.01590,1582.9553,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_014,stream,kokkos,amd_mi300x,small,1048576,14,0.01574,1598.6421,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_015,stream,kokkos,amd_mi300x,small,1048576,15,0.01589,1584.0514,,1,,
2026-03-20T02:47:38Z,stream_kokkos_amd_mi300x_small_016,stream,kokkos,amd_mi300x,small,1048576,16,0.01576,1596.8162,,1,,
